"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
34.986831,-106.613512,NA,"Hesperiidae","Megathymus streckeri",2025,4,16,"iNaturalist research-grade observations","5134032602","Adult"
35.139978,-106.778835,NA,"Hesperiidae","Hylephila phyleus",2025,6,16,"iNaturalist research-grade observations","5199183629",NA
35.093656,-106.622432,NA,"Hesperiidae",NA,2025,6,19,"iNaturalist research-grade observations","5216334981","Adult"
35.137153,-106.5197,NA,"Hesperiidae",NA,2025,6,23,"iNaturalist research-grade observations","5216854927",NA
35.095973,-106.62279,NA,"Hesperiidae",NA,2025,6,20,"iNaturalist research-grade observations","5217443015","Adult"
35.135971,-106.48192,NA,"Hesperiidae",NA,2024,3,28,"iNaturalist research-grade observations","5036724549",NA
35.094513,-106.475195,NA,"Hesperiidae","Erynnis brizo",2024,4,13,"iNaturalist research-grade observations","4852961796",NA
35.136149,-106.481941,NA,"Hesperiidae","Pholisora catullus",2024,4,26,"iNaturalist research-grade observations","4863488007",NA
35.136149,-106.481941,NA,"Hesperiidae","Zestusa dorus",2024,4,26,"iNaturalist research-grade observations","4863637045",NA
35.096043,-106.59519,NA,"Hesperiidae",NA,2024,4,14,"iNaturalist research-grade observations","4874982796","Adult"
35.136149,-106.481941,NA,"Hesperiidae","Erynnis telemachus",2024,4,26,"iNaturalist research-grade observations","4935883574",NA
35.136026,-106.481899,NA,"Hesperiidae",NA,2024,4,25,"iNaturalist research-grade observations","5036662297",NA
35.103323,-106.493145,NA,"Hesperiidae",NA,2024,4,26,"iNaturalist research-grade observations","5036807815",NA
35.102611,-106.539208,NA,"Hesperiidae",NA,2024,4,29,"iNaturalist research-grade observations","5036860930","Adult"
35.121254,-106.536979,NA,"Hesperiidae",NA,2024,4,25,"iNaturalist research-grade observations","5036997044","Adult"
35.136149,-106.481941,NA,"Hesperiidae",NA,2024,4,26,"iNaturalist research-grade observations","5037133509",NA
35.164984,-106.673207,NA,"Hesperiidae","Hylephila phyleus",2024,5,9,"iNaturalist research-grade observations","4863347758",NA
35.149119,-106.477654,NA,"Hesperiidae","Megathymus streckeri",2024,6,13,"iNaturalist research-grade observations","5007729001",NA
35.088439,-106.534156,NA,"Hesperiidae",NA,2024,6,29,"iNaturalist research-grade observations","5037079664",NA
35.100959,-106.478232,NA,"Hesperiidae","Oarisma aurantiaca",2024,7,14,"iNaturalist research-grade observations","4908397116",NA
35.098599,-106.477529,NA,"Hesperiidae",NA,2024,7,14,"iNaturalist research-grade observations","5036716574",NA
35.083003,-106.622095,NA,"Hesperiidae",NA,2024,7,2,"iNaturalist research-grade observations","5037139144",NA
