"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
34.017977,-118.288005,NA,"Hesperiidae","Hylephila phyleus",2025,1,29,"iNaturalist research-grade observations","5063636786","Adult"
34.054945,-118.272553,NA,"Hesperiidae","Hylephila phyleus",2025,1,31,"iNaturalist research-grade observations","5063678680","Adult"
34.017724,-118.287679,NA,"Hesperiidae","Hylephila phyleus",2025,1,15,"iNaturalist research-grade observations","5230005939",NA
34.017903,-118.287891,NA,"Hesperiidae","Lerodea eufala",2025,2,18,"iNaturalist research-grade observations","5076905685","Adult"
34.2272,-118.409597,NA,"Hesperiidae","Burnsius albezens",2025,2,21,"iNaturalist research-grade observations","5076960228","Adult"
34.227563,-118.409607,NA,"Hesperiidae","Burnsius albezens",2025,2,21,"iNaturalist research-grade observations","5076976104","Adult"
34.017625,-118.288353,NA,"Hesperiidae","Lon melane",2025,2,26,"iNaturalist research-grade observations","5087323313","Adult"
34.070503,-118.448578,NA,"Hesperiidae","Erynnis tristis",2025,2,27,"iNaturalist research-grade observations","5087325125","Adult"
34.088638,-118.197752,NA,"Hesperiidae","Lon melane",2025,3,9,"iNaturalist research-grade observations","5087690977","Adult"
34.016083,-118.3656,NA,"Hesperiidae","Lon melane",2025,3,9,"iNaturalist research-grade observations","5087756957","Adult"
34.0178,-118.287715,NA,"Hesperiidae","Lerodea eufala",2025,3,17,"iNaturalist research-grade observations","5087995291","Adult"
34.017934,-118.287995,NA,"Hesperiidae","Hylephila phyleus",2025,3,17,"iNaturalist research-grade observations","5087995294","Adult"
34.017926,-118.287987,NA,"Hesperiidae","Lon melane",2025,3,17,"iNaturalist research-grade observations","5088024228","Adult"
34.22593,-118.462355,NA,"Hesperiidae","Erynnis tristis",2025,3,16,"iNaturalist research-grade observations","5088036550","Adult"
34.016594,-118.287695,NA,"Hesperiidae","Lon melane",2025,3,17,"iNaturalist research-grade observations","5088111963","Adult"
34.017932,-118.288016,NA,"Hesperiidae","Lerodea eufala",2025,3,18,"iNaturalist research-grade observations","5088176513","Adult"
34.034578,-118.360329,NA,"Hesperiidae","Hylephila phyleus",2025,3,19,"iNaturalist research-grade observations","5104453713","Adult"
34.017383,-118.366508,NA,"Hesperiidae","Hylephila phyleus",2025,3,25,"iNaturalist research-grade observations","5108094116","Adult"
34.016845,-118.364638,NA,"Hesperiidae","Hylephila phyleus",2025,3,28,"iNaturalist research-grade observations","5108301068","Adult"
34.062158,-118.300147,NA,"Hesperiidae","Hylephila phyleus",2025,3,29,"iNaturalist research-grade observations","5108345462","Adult"
34.017995,-118.288445,NA,"Hesperiidae","Hylephila phyleus",2025,3,28,"iNaturalist research-grade observations","5108372147","Adult"
34.297228,-118.557928,NA,"Hesperiidae","Hylephila phyleus",2025,3,31,"iNaturalist research-grade observations","5108397218",NA
34.014577,-118.286421,NA,"Hesperiidae","Hylephila phyleus",2025,3,28,"iNaturalist research-grade observations","5140542953",NA
34.238323,-118.359312,NA,"Hesperiidae","Lon melane",2025,4,12,"iNaturalist research-grade observations","5133420177",NA
34.066661,-118.441513,NA,"Hesperiidae","Lon melane",2025,4,2,"iNaturalist research-grade observations","5133805064",NA
34.066022,-118.441292,NA,"Hesperiidae","Lon melane",2025,4,2,"iNaturalist research-grade observations","5133818104",NA
34.065803,-118.441238,NA,"Hesperiidae","Lon melane",2025,4,2,"iNaturalist research-grade observations","5133993058",NA
34.017915,-118.287994,NA,"Hesperiidae","Lerodea eufala",2025,4,3,"iNaturalist research-grade observations","5134010613",NA
34.066672,-118.441325,NA,"Hesperiidae","Lon melane",2025,4,2,"iNaturalist research-grade observations","5134050512","Adult"
34.020775,-118.371588,NA,"Hesperiidae","Hylephila phyleus",2025,4,2,"iNaturalist research-grade observations","5134081437","Adult"
34.010441,-118.297357,NA,"Hesperiidae","Lon melane",2025,4,5,"iNaturalist research-grade observations","5134243674",NA
34.054847,-118.272545,NA,"Hesperiidae","Lerodea eufala",2025,4,4,"iNaturalist research-grade observations","5134377689",NA
34.054779,-118.272554,NA,"Hesperiidae","Lerodea eufala",2025,4,5,"iNaturalist research-grade observations","5134402600",NA
34.106995,-118.290108,NA,"Hesperiidae","Lerodea eufala",2025,4,20,"iNaturalist research-grade observations","5134419350",NA
34.054817,-118.272613,NA,"Hesperiidae","Lon melane",2025,4,4,"iNaturalist research-grade observations","5134422881",NA
34.010429,-118.406491,NA,"Hesperiidae","Lon melane",2025,4,19,"iNaturalist research-grade observations","5134520607",NA
34.065612,-118.44118,NA,"Hesperiidae","Lon melane",2025,4,9,"iNaturalist research-grade observations","5134723587",NA
33.9599,-118.44865,NA,"Hesperiidae","Lon melane",2025,4,8,"iNaturalist research-grade observations","5134802973",NA
34.066781,-118.440892,NA,"Hesperiidae","Lon melane",2025,4,8,"iNaturalist research-grade observations","5134818809",NA
33.98942,-118.454663,NA,"Hesperiidae","Lon melane",2025,4,25,"iNaturalist research-grade observations","5140271025",NA
34.064896,-118.441493,NA,"Hesperiidae","Lon melane",2025,4,25,"iNaturalist research-grade observations","5140410747",NA
33.746313,-118.293595,NA,"Hesperiidae","Hylephila phyleus",2025,4,25,"iNaturalist research-grade observations","5140424691",NA
33.985592,-118.367905,NA,"Hesperiidae","Lon melane",2025,4,26,"iNaturalist research-grade observations","5140473992",NA
33.985572,-118.367875,NA,"Hesperiidae","Hylephila phyleus",2025,4,26,"iNaturalist research-grade observations","5140620116",NA
34.066521,-118.441442,NA,"Hesperiidae","Lon melane",2025,4,26,"iNaturalist research-grade observations","5140678365",NA
34.097806,-118.200504,NA,"Hesperiidae","Hylephila phyleus",2025,4,28,"iNaturalist research-grade observations","5140954770",NA
34.017845,-118.287705,NA,"Hesperiidae","Hylephila phyleus",2025,4,28,"iNaturalist research-grade observations","5141005286",NA
34.137113,-118.205151,NA,"Hesperiidae","Hylephila phyleus",2025,4,28,"iNaturalist research-grade observations","5141049757",NA
34.017728,-118.288943,NA,"Hesperiidae","Hylephila phyleus",2025,4,28,"iNaturalist research-grade observations","5153138288",NA
34.133999,-118.215263,NA,"Hesperiidae","Lerodea eufala",2025,4,25,"iNaturalist research-grade observations","5153266266",NA
34.271453,-118.316281,NA,"Hesperiidae","Hylephila phyleus",2025,4,26,"iNaturalist research-grade observations","5153557699",NA
34.293633,-118.569654,NA,"Hesperiidae","Hylephila phyleus",2025,4,28,"iNaturalist research-grade observations","5153726377",NA
34.247888,-118.50892,NA,"Hesperiidae","Hylephila phyleus",2025,4,27,"iNaturalist research-grade observations","5153740767",NA
34.073536,-118.44133,NA,"Hesperiidae","Lon melane",2025,4,29,"iNaturalist research-grade observations","5154418378",NA
34.017712,-118.289004,NA,"Hesperiidae","Hylephila phyleus",2025,4,28,"iNaturalist research-grade observations","5154720514",NA
34.066545,-118.441453,NA,"Hesperiidae","Lon melane",2025,4,25,"iNaturalist research-grade observations","5167844161",NA
34.066036,-118.440796,NA,"Hesperiidae","Lon melane",2025,5,8,"iNaturalist research-grade observations","5153146774",NA
34.066497,-118.441567,NA,"Hesperiidae","Lon melane",2025,5,7,"iNaturalist research-grade observations","5153593054",NA
34.065956,-118.44075,NA,"Hesperiidae","Lon melane",2025,5,12,"iNaturalist research-grade observations","5153698788",NA
34.072758,-118.429497,NA,"Hesperiidae","Hylephila phyleus",2025,5,10,"iNaturalist research-grade observations","5154121810",NA
34.066391,-118.441666,NA,"Hesperiidae","Lon melane",2025,5,8,"iNaturalist research-grade observations","5154385188",NA
34.065997,-118.441292,NA,"Hesperiidae","Lon melane",2025,5,12,"iNaturalist research-grade observations","5154576623",NA
34.066033,-118.440545,NA,"Hesperiidae","Lon melane",2025,5,1,"iNaturalist research-grade observations","5154871009",NA
34.017556,-118.28875,NA,"Hesperiidae","Lon melane",2025,5,14,"iNaturalist research-grade observations","5166868392",NA
34.054806,-118.272567,NA,"Hesperiidae","Hylephila phyleus",2025,5,23,"iNaturalist research-grade observations","5167368415",NA
34.01796,-118.28785,NA,"Hesperiidae","Lon melane",2025,5,17,"iNaturalist research-grade observations","5167562513",NA
34.066231,-118.4412,NA,"Hesperiidae","Lon melane",2025,5,19,"iNaturalist research-grade observations","5168175398",NA
34.066303,-118.44117,NA,"Hesperiidae","Lon melane",2025,5,13,"iNaturalist research-grade observations","5198320803",NA
34.12565,-118.192721,NA,"Hesperiidae","Lon melane",2025,5,1,"iNaturalist research-grade observations","5206281508",NA
34.017289,-118.287675,NA,"Hesperiidae","Lon melane",2025,5,17,"iNaturalist research-grade observations","5216258662","Adult"
34.271248,-118.316309,NA,"Hesperiidae","Hylephila phyleus",2025,5,2,"iNaturalist research-grade observations","5217247616",NA
34.017528,-118.28778,NA,"Hesperiidae","Lon melane",2025,6,6,"iNaturalist research-grade observations","5187638747",NA
34.037133,-118.430983,NA,"Hesperiidae","Hylephila phyleus",2025,6,16,"iNaturalist research-grade observations","5198394791",NA
34.178188,-118.472158,NA,"Hesperiidae","Hylephila phyleus",2025,6,12,"iNaturalist research-grade observations","5198417000",NA
34.276378,-118.299695,NA,"Hesperiidae","Hylephila phyleus",2025,6,12,"iNaturalist research-grade observations","5198456998",NA
34.177768,-118.471858,NA,"Hesperiidae","Lerodea eufala",2025,6,12,"iNaturalist research-grade observations","5198483990",NA
34.017611,-118.287833,NA,"Hesperiidae","Lon melane",2025,6,12,"iNaturalist research-grade observations","5198777212",NA
33.783516,-118.294876,NA,"Hesperiidae","Hylephila phyleus",2025,6,12,"iNaturalist research-grade observations","5198889038",NA
33.78396,-118.295729,NA,"Hesperiidae","Burnsius albezens",2025,6,12,"iNaturalist research-grade observations","5199163146",NA
34.203297,-118.516005,NA,"Hesperiidae","Hylephila phyleus",2025,6,14,"iNaturalist research-grade observations","5199262539",NA
34.016682,-118.287674,NA,"Hesperiidae","Hylephila phyleus",2025,6,18,"iNaturalist research-grade observations","5206565873","Adult"
34.039253,-118.218613,NA,"Hesperiidae","Lerodea eufala",2025,6,19,"iNaturalist research-grade observations","5206663101",NA
34.007381,-118.363845,NA,"Hesperiidae","Hylephila phyleus",2025,6,21,"iNaturalist research-grade observations","5206684401",NA
34.176239,-118.474693,NA,"Hesperiidae","Burnsius albezens",2025,6,4,"iNaturalist research-grade observations","5215700742",NA
34.178274,-118.472515,NA,"Hesperiidae","Erynnis tristis",2025,6,20,"iNaturalist research-grade observations","5216329860",NA
34.017802,-118.287617,NA,"Hesperiidae","Hylephila phyleus",2025,6,25,"iNaturalist research-grade observations","5216467495",NA
34.179029,-118.471337,NA,"Hesperiidae","Hylephila phyleus",2025,6,30,"iNaturalist research-grade observations","5216735039",NA
34.017543,-118.287903,NA,"Hesperiidae","Hylephila phyleus",2025,6,24,"iNaturalist research-grade observations","5217228551",NA
34.177831,-118.47109,NA,"Hesperiidae","Hylephila phyleus",2025,6,30,"iNaturalist research-grade observations","5217415988",NA
34.152819,-118.311428,NA,"Hesperiidae","Hylephila phyleus",2025,6,29,"iNaturalist research-grade observations","5217531873",NA
34.017418,-118.287918,NA,"Hesperiidae","Lon melane",2025,7,3,"iNaturalist research-grade observations","5215870527",NA
34.269714,-118.32171,NA,"Hesperiidae","Lerodea eufala",2025,7,5,"iNaturalist research-grade observations","5230373945",NA
34.177499,-118.47198,NA,"Hesperiidae","Hylephila phyleus",2025,7,14,"iNaturalist research-grade observations","5230445058",NA
34.154606,-118.291543,NA,"Hesperiidae","Erynnis tristis",2025,7,19,"iNaturalist research-grade observations","5230486920",NA
34.01762,-118.287987,NA,"Hesperiidae","Lon melane",2025,7,9,"iNaturalist research-grade observations","5230499304",NA
33.789639,-118.291822,NA,"Hesperiidae","Burnsius albezens",2025,7,13,"iNaturalist research-grade observations","5230510910",NA
34.154529,-118.29131,NA,"Hesperiidae","Hylephila phyleus",2025,7,19,"iNaturalist research-grade observations","5230804951",NA
34.099544,-118.20063,NA,"Hesperiidae","Erynnis tristis",2025,7,5,"iNaturalist research-grade observations","5230853943",NA
34.177875,-118.472641,NA,"Hesperiidae","Hylephila phyleus",2025,7,14,"iNaturalist research-grade observations","5231028123",NA
34.118434,-118.300393,NA,"Hesperiidae","Hylephila phyleus",2025,7,13,"iNaturalist research-grade observations","5231056364",NA
33.789639,-118.291822,NA,"Hesperiidae","Burnsius albezens",2025,7,13,"iNaturalist research-grade observations","5231191845",NA
34.269718,-118.32172,NA,"Hesperiidae","Hylephila phyleus",2025,7,5,"iNaturalist research-grade observations","5231253925",NA
33.789639,-118.291822,NA,"Hesperiidae","Lon melane",2025,7,13,"iNaturalist research-grade observations","5231392846",NA
33.782633,-118.296295,NA,"Hesperiidae","Burnsius albezens",2024,1,1,"iNaturalist research-grade observations","4507904155","Adult"
33.790403,-118.291635,NA,"Hesperiidae","Burnsius albezens",2024,1,1,"iNaturalist research-grade observations","4508004234","Adult"
34.136554,-118.2942,NA,"Hesperiidae","Burnsius albezens",2024,1,27,"iNaturalist research-grade observations","4516431599",NA
34.037093,-118.423859,NA,"Hesperiidae","Lon melane",2024,2,8,"iNaturalist research-grade observations","4522681306",NA
34.17962,-118.48123,NA,"Hesperiidae","Burnsius albezens",2024,2,11,"iNaturalist research-grade observations","4522751781","Adult"
34.236735,-118.395291,NA,"Hesperiidae","Burnsius albezens",2024,2,10,"iNaturalist research-grade observations","4522754166",NA
34.11384,-118.222555,NA,"Hesperiidae","Lon melane",2024,2,11,"iNaturalist research-grade observations","4872240017","Adult"
34.112044,-118.434135,NA,"Hesperiidae","Lon melane",2024,2,28,"iNaturalist research-grade observations","4935993040",NA
34.127467,-118.311028,NA,"Hesperiidae","Burnsius albezens",2024,2,29,"iNaturalist research-grade observations","5062675900",NA
34.081934,-118.204361,NA,"Hesperiidae","Burnsius albezens",2024,3,1,"iNaturalist research-grade observations","4535904137",NA
34.138709,-118.291035,NA,"Hesperiidae","Erynnis tristis",2024,3,8,"iNaturalist research-grade observations","4596931903",NA
34.07856,-118.286537,NA,"Hesperiidae","Lon melane",2024,3,11,"iNaturalist research-grade observations","4596975030",NA
33.985533,-118.36788,NA,"Hesperiidae","Lon melane",2024,3,17,"iNaturalist research-grade observations","4597100291",NA
33.969578,-118.42382,NA,"Hesperiidae","Hylephila phyleus",2024,3,18,"iNaturalist research-grade observations","4597154462","Adult"
