"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
32.248138,-110.908128,NA,"Hesperiidae","Hylephila phyleus",2025,1,18,"iNaturalist research-grade observations","5063113058",NA
32.24825,-110.908233,NA,"Hesperiidae","Hylephila phyleus",2025,2,7,"iNaturalist research-grade observations","5063920005",NA
32.241933,-110.797601,NA,"Hesperiidae","Burnsius albezens",2025,3,18,"iNaturalist research-grade observations","5088174474",NA
32.253979,-110.974177,NA,"Hesperiidae","Hylephila phyleus",2025,3,20,"iNaturalist research-grade observations","5104455279",NA
32.236154,-110.82167,NA,"Hesperiidae","Hylephila phyleus",2025,3,22,"iNaturalist research-grade observations","5104600077",NA
32.279019,-111.02082,NA,"Hesperiidae","Hylephila phyleus",2025,3,23,"iNaturalist research-grade observations","5104702286",NA
32.279406,-111.02059,NA,"Hesperiidae","Hylephila phyleus",2025,3,26,"iNaturalist research-grade observations","5108151800",NA
32.248523,-110.908785,NA,"Hesperiidae","Erynnis tristis",2025,3,26,"iNaturalist research-grade observations","5108166258",NA
32.278348,-111.020996,NA,"Hesperiidae","Lerodea arabus",2025,4,18,"iNaturalist research-grade observations","5134020283",NA
32.23173,-110.95382,NA,"Hesperiidae","Hylephila phyleus",2025,4,2,"iNaturalist research-grade observations","5134098814",NA
32.202631,-110.989436,NA,"Hesperiidae","Hylephila phyleus",2025,4,25,"iNaturalist research-grade observations","5140287037",NA
32.278862,-111.023956,NA,"Hesperiidae","Hylephila phyleus",2025,4,27,"iNaturalist research-grade observations","5140690956",NA
32.278862,-111.023956,NA,"Hesperiidae","Hylephila phyleus",2025,4,27,"iNaturalist research-grade observations","5140694880",NA
32.27888,-111.023932,NA,"Hesperiidae","Hylephila phyleus",2025,4,27,"iNaturalist research-grade observations","5140706279",NA
32.278862,-111.023956,NA,"Hesperiidae","Hylephila phyleus",2025,4,27,"iNaturalist research-grade observations","5140741152","Adult"
32.278862,-111.023956,NA,"Hesperiidae","Hylephila phyleus",2025,4,27,"iNaturalist research-grade observations","5140855073","Adult"
32.279168,-111.020833,NA,"Hesperiidae","Ancyloxypha arene",2025,6,2,"iNaturalist research-grade observations","5176651664",NA
32.280458,-111.02723,NA,"Hesperiidae","Hylephila phyleus",2025,6,8,"iNaturalist research-grade observations","5187985498",NA
32.230545,-110.951155,NA,"Hesperiidae","Hylephila phyleus",2025,6,18,"iNaturalist research-grade observations","5206275815",NA
32.279025,-111.026063,NA,"Hesperiidae","Hylephila phyleus",2025,6,22,"iNaturalist research-grade observations","5206770880",NA
32.27868,-111.024194,NA,"Hesperiidae","Lerodea arabus",2025,6,28,"iNaturalist research-grade observations","5216661202",NA
32.279176,-111.020893,NA,"Hesperiidae","Ancyloxypha arene",2025,7,4,"iNaturalist research-grade observations","5217097937",NA
32.231942,-110.954217,NA,"Hesperiidae","Hylephila phyleus",2024,3,12,"iNaturalist research-grade observations","4597006309",NA
32.21591,-111.035682,NA,"Hesperiidae","Hylephila phyleus",2024,3,19,"iNaturalist research-grade observations","4600106658",NA
32.219079,-111.034678,1,"Hesperiidae","Pyrgus communis",2024,3,30,"eButterfly","4602648301",NA
32.219079,-111.034678,1,"Hesperiidae","Erynnis funeralis",2024,3,30,"eButterfly","4602649301",NA
32.21773,-111.035774,NA,"Hesperiidae","Erynnis funeralis",2024,3,30,"iNaturalist research-grade observations","4606854085",NA
32.219025,-111.03458,NA,"Hesperiidae","Burnsius albezens",2024,3,30,"iNaturalist research-grade observations","4607405255",NA
32.279667,-111.020899,NA,"Hesperiidae","Systasea zampa",2024,3,29,"iNaturalist research-grade observations","4875274873",NA
32.232238,-110.947905,NA,"Hesperiidae","Hylephila phyleus",2024,4,2,"iNaturalist research-grade observations","4607093551",NA
32.22681,-110.96553,NA,"Hesperiidae","Burnsius albezens",2024,4,26,"iNaturalist research-grade observations","4852452668",NA
32.253742,-110.93418,NA,"Hesperiidae","Hylephila phyleus",2024,4,2,"iNaturalist research-grade observations","4852789869",NA
32.279667,-111.020899,NA,"Hesperiidae","Hylephila phyleus",2024,4,28,"iNaturalist research-grade observations","4872029685",NA
32.229471,-110.954524,NA,"Hesperiidae","Hylephila phyleus",2024,4,8,"iNaturalist research-grade observations","4872460993","Adult"
32.278679,-111.023879,NA,"Hesperiidae","Hylephila phyleus",2024,5,27,"iNaturalist research-grade observations","4872654256","Adult"
32.162011,-110.987183,NA,"Hesperiidae","Hylephila phyleus",2024,5,29,"iNaturalist research-grade observations","4875401878",NA
32.231563,-110.955758,NA,"Hesperiidae","Hylephila phyleus",2024,6,7,"iNaturalist research-grade observations","4892217746",NA
32.226849,-110.965565,NA,"Hesperiidae","Erynnis funeralis",2024,6,22,"iNaturalist research-grade observations","4901788439",NA
32.2789,-111.020859,NA,"Hesperiidae","Hylephila phyleus",2024,6,11,"iNaturalist research-grade observations","4902128579","Adult"
32.27891,-111.020623,1,"Hesperiidae","Hylephila phyleus",2024,6,11,"eButterfly","4903000422",NA
32.226827,-110.965444,NA,"Hesperiidae","Hylephila phyleus",2024,7,1,"iNaturalist research-grade observations","4903921693","Adult"
32.2241,-110.971746,NA,"Hesperiidae","Hylephila phyleus",2024,7,1,"iNaturalist research-grade observations","4904305564",NA
32.21082,-111.037201,NA,"Hesperiidae","Hylephila phyleus",2024,7,5,"iNaturalist research-grade observations","4908041913",NA
32.093805,-110.779442,NA,"Hesperiidae","Hylephila phyleus",2024,7,1,"iNaturalist research-grade observations","4908044898","Adult"
32.18179,-110.930939,NA,"Hesperiidae","Hylephila phyleus",2024,7,2,"iNaturalist research-grade observations","4908172812",NA
32.093767,-110.779387,NA,"Hesperiidae","Hylephila phyleus",2024,7,1,"iNaturalist research-grade observations","4908337276","Adult"
32.093807,-110.779444,NA,"Hesperiidae","Hylephila phyleus",2024,7,1,"iNaturalist research-grade observations","4908986921","Adult"
32.093749,-110.779358,NA,"Hesperiidae","Hylephila phyleus",2024,7,1,"iNaturalist research-grade observations","4909141576","Adult"
32.093772,-110.779492,NA,"Hesperiidae","Hylephila phyleus",2024,7,1,"iNaturalist research-grade observations","4909141577","Adult"
32.244898,-110.787609,NA,"Hesperiidae","Pholisora catullus",2024,8,11,"iNaturalist research-grade observations","4923654918",NA
32.24699,-110.790074,NA,"Hesperiidae","Pholisora catullus",2024,8,11,"iNaturalist research-grade observations","4923673008",NA
32.242939,-110.785061,NA,"Hesperiidae","Pholisora catullus",2024,8,11,"iNaturalist research-grade observations","4923681196",NA
32.208566,-110.92127,NA,"Hesperiidae","Hylephila phyleus",2024,8,6,"iNaturalist research-grade observations","4923724117",NA
32.24699,-110.790074,NA,"Hesperiidae","Pholisora catullus",2024,8,11,"iNaturalist research-grade observations","4923824173",NA
32.208566,-110.92127,NA,"Hesperiidae","Hylephila phyleus",2024,8,6,"iNaturalist research-grade observations","4923837757",NA
32.208566,-110.92127,NA,"Hesperiidae","Hylephila phyleus",2024,8,6,"iNaturalist research-grade observations","4923866682",NA
32.242939,-110.785061,NA,"Hesperiidae","Pholisora catullus",2024,8,11,"iNaturalist research-grade observations","4923926759",NA
32.208566,-110.92127,NA,"Hesperiidae","Oarisma aurantiaca",2024,8,6,"iNaturalist research-grade observations","4924122332",NA
32.242939,-110.785061,NA,"Hesperiidae","Pholisora catullus",2024,8,11,"iNaturalist research-grade observations","4924173403",NA
32.280441,-111.027343,NA,"Hesperiidae","Hylephila phyleus",2024,8,18,"iNaturalist research-grade observations","4926070348",NA
32.227492,-110.965462,NA,"Hesperiidae","Systasea zampa",2024,8,19,"iNaturalist research-grade observations","4926323181",NA
