"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetName","gbifID","lifeStage"
34.151248,-118.28587,"Hesperiidae","Lon melane",2024,6,22,"iNaturalist research-grade observations","4936467683",NA
34.150681,-118.285423,"Hesperiidae","Lon melane",2024,8,12,"iNaturalist research-grade observations","4935929312",NA
34.150106,-118.288872,"Hesperiidae","Lon melane",2023,5,30,"iNaturalist research-grade observations","4129689500","Adult"
34.145826,-118.284203,"Hesperiidae","Hylephila phyleus",2023,9,15,"iNaturalist research-grade observations","4606644408","Adult"
34.146489,-118.291337,"Hesperiidae","Lon melane",2023,10,12,"iNaturalist research-grade observations","4599943217","Adult"
34.147592,-118.287322,"Hesperiidae","Hylephila phyleus",2023,10,27,"iNaturalist research-grade observations","4606694578","Adult"
34.146458,-118.29132,"Hesperiidae","Lon melane",2023,10,12,"iNaturalist research-grade observations","4852653754","Adult"
34.151127,-118.285663,"Hesperiidae","Lon melane",2023,10,8,"iNaturalist research-grade observations","4936556889","Adult"
34.149753,-118.283975,"Hesperiidae","Hylephila phyleus",2023,11,20,"iNaturalist research-grade observations","4901355720","Adult"
34.150858,-118.285469,"Hesperiidae","Lon melane",2023,11,25,"iNaturalist research-grade observations","4936017480","Adult"
34.150833,-118.286148,"Hesperiidae","Hylephila phyleus",2023,11,19,"iNaturalist research-grade observations","4936527135","Adult"
34.150604,-118.285521,"Hesperiidae","Lon melane",2023,11,19,"iNaturalist research-grade observations","4937144799","Adult"
34.150658,-118.284657,"Hesperiidae","Hylephila phyleus",2023,11,1,"iNaturalist research-grade observations","4949994760","Adult"
34.147433,-118.287255,"Hesperiidae","Lon melane",2022,4,11,"iNaturalist research-grade observations","4599796591","Adult"
34.147536,-118.287072,"Hesperiidae","Lon melane",2022,5,2,"iNaturalist research-grade observations","3773174550","Adult"
34.145631,-118.28402,"Hesperiidae","Hylephila phyleus",2021,9,28,"iNaturalist research-grade observations","3415980240","Adult"
34.146297,-118.29003,"Hesperiidae","Lon melane",2021,10,16,"iNaturalist research-grade observations","3398681096","Adult"
34.14994,-118.291995,"Hesperiidae","Lon melane",2020,4,26,"iNaturalist research-grade observations","2611025293","Adult"
34.147536,-118.288125,"Hesperiidae","Lon melane",2020,4,26,"iNaturalist research-grade observations","2611206983","Adult"
34.147526,-118.287537,"Hesperiidae","Hylephila phyleus",2019,10,8,"iNaturalist research-grade observations","2574079432","Adult"
34.146868,-118.290307,"Hesperiidae","Lon melane",2018,4,27,"iNaturalist research-grade observations","1847422308","Adult"
34.149475,-118.286583,"Hesperiidae","Lon melane",2018,4,28,"iNaturalist research-grade observations","1847423841","Adult"
34.149341,-118.290145,"Hesperiidae","Lon melane",2015,9,25,"iNaturalist research-grade observations","3988789999","Adult"
34.14615,-118.29328,"Lycaenidae","Strymon melinus",2024,5,17,"iNaturalist research-grade observations","4867616849","Adult"
34.150689,-118.285419,"Lycaenidae","Leptotes marina",2024,8,12,"iNaturalist research-grade observations","4935860274",NA
34.1463,-118.289528,"Lycaenidae","Strymon melinus",2024,8,23,"iNaturalist research-grade observations","4936780498","Adult"
34.150606,-118.285424,"Lycaenidae","Leptotes marina",2023,7,16,"iNaturalist research-grade observations","4935689384","Adult"
34.15041,-118.285402,"Lycaenidae","Leptotes marina",2023,7,16,"iNaturalist research-grade observations","4937145312","Adult"
34.147489,-118.288833,"Lycaenidae","Leptotes marina",2023,8,22,"iNaturalist research-grade observations","4405030559","Adult"
34.151139,-118.285653,"Lycaenidae","Leptotes marina",2023,10,8,"iNaturalist research-grade observations","4936140021","Adult"
34.145583,-118.284374,"Lycaenidae","Leptotes marina",2022,5,27,"iNaturalist research-grade observations","3860092523","Adult"
34.147889,-118.286522,"Lycaenidae","Strymon melinus",2022,9,8,"iNaturalist research-grade observations","3961182650","Adult"
34.147261,-118.288498,"Lycaenidae","Strymon melinus",2021,8,18,"iNaturalist research-grade observations","3337984930","Adult"
34.150756,-118.286276,"Lycaenidae","Brephidium exilis",2018,4,27,"iNaturalist research-grade observations","1841212545","Adult"
34.150756,-118.286276,"Lycaenidae","Leptotes marina",2018,4,27,"iNaturalist research-grade observations","1841212546","Adult"
34.151644,-118.285675,"Lycaenidae","Strymon melinus",2018,4,27,"iNaturalist research-grade observations","1841213273","Adult"
34.150205,-118.285439,"Lycaenidae","Strymon melinus",2018,4,27,"iNaturalist research-grade observations","1847421501","Adult"
34.146982,-118.291407,"Lycaenidae","Leptotes marina",2017,8,7,"iNaturalist research-grade observations","1586149666","Adult"
34.147189,-118.291511,"Lycaenidae","Leptotes marina",2017,10,23,"iNaturalist research-grade observations","1703142688","Adult"
34.144976,-118.294157,"Lycaenidae","Brephidium exilis",2015,7,11,"iNaturalist research-grade observations","1122963107","Adult"
34.150458,-118.285549,"Lycaenidae","Leptotes marina",2012,9,9,"iNaturalist research-grade observations","891096505","Adult"
34.147831,-118.287912,"Nymphalidae","Nymphalis antiopa",2025,2,28,"iNaturalist research-grade observations","5087341677","Adult"
34.148664,-118.291512,"Nymphalidae","Nymphalis antiopa",2025,4,24,"iNaturalist research-grade observations","5140244066","Larva"
34.146834,-118.287998,"Nymphalidae","Nymphalis antiopa",2025,5,7,"iNaturalist research-grade observations","5154523419",NA
34.148558,-118.284547,"Nymphalidae","Nymphalis antiopa",2025,5,19,"iNaturalist research-grade observations","5167267076",NA
34.146225,-118.288963,"Nymphalidae","Nymphalis antiopa",2025,6,2,"iNaturalist research-grade observations","5176698231",NA
34.14787,-118.288178,"Nymphalidae","Dione vanillae",2025,7,11,"iNaturalist research-grade observations","5230646561",NA
34.14921,-118.291215,"Nymphalidae","Nymphalis antiopa",2024,1,27,"iNaturalist research-grade observations","4516837008","Adult"
34.148461,-118.290963,"Nymphalidae","Nymphalis antiopa",2024,1,27,"iNaturalist research-grade observations","4516861497","Adult"
34.14712,-118.291453,"Nymphalidae","Nymphalis antiopa",2024,1,27,"iNaturalist research-grade observations","4516862626","Adult"
34.149118,-118.289613,"Nymphalidae","Dione vanillae",2024,1,27,"iNaturalist research-grade observations","4516928884","Adult"
34.147492,-118.288095,"Nymphalidae","Nymphalis antiopa",2024,2,23,"iNaturalist research-grade observations","4527996174","Adult"
34.1478,-118.287767,"Nymphalidae","Nymphalis antiopa",2024,3,8,"iNaturalist research-grade observations","4597332832","Adult"
34.149381,-118.286413,"Nymphalidae","Vanessa virginiensis",2024,3,18,"iNaturalist research-grade observations","4599850815","Adult"
34.14937,-118.286392,"Nymphalidae","Dione vanillae",2024,3,18,"iNaturalist research-grade observations","4599856861","Adult"
34.148962,-118.284564,"Nymphalidae","Nymphalis antiopa",2024,3,31,"iNaturalist research-grade observations","4607493952","Larva"
34.14545,-118.284273,"Nymphalidae","Nymphalis antiopa",2024,4,23,"iNaturalist research-grade observations","4852002458","Larva"
34.145275,-118.289743,"Nymphalidae","Dione vanillae",2024,4,20,"iNaturalist research-grade observations","4852051376",NA
34.149598,-118.284063,"Nymphalidae","Nymphalis antiopa",2024,4,26,"iNaturalist research-grade observations","4852450808","Larva"
34.147428,-118.286513,"Nymphalidae","Nymphalis antiopa",2024,4,29,"iNaturalist research-grade observations","4852600639","Adult"
34.146283,-118.28978,"Nymphalidae","Dione vanillae",2024,4,17,"iNaturalist research-grade observations","4852665078","Adult"
34.145591,-118.284503,"Nymphalidae","Nymphalis antiopa",2024,4,23,"iNaturalist research-grade observations","4852996682","Larva"
34.145436,-118.284279,"Nymphalidae","Nymphalis antiopa",2024,4,23,"iNaturalist research-grade observations","4853112977","Larva"
34.147214,-118.290838,"Nymphalidae","Nymphalis antiopa",2024,5,19,"iNaturalist research-grade observations","4867829337","Adult"
34.147604,-118.291324,"Nymphalidae","Dione vanillae",2024,5,20,"iNaturalist research-grade observations","4868000015",NA
34.14782,-118.287995,"Nymphalidae","Nymphalis antiopa",2024,5,21,"iNaturalist research-grade observations","4868052223","Adult"
34.148635,-118.284236,"Nymphalidae","Nymphalis antiopa",2024,6,27,"iNaturalist research-grade observations","4903877713","Larva"
34.149617,-118.283937,"Nymphalidae","Vanessa virginiensis",2024,6,27,"iNaturalist research-grade observations","4936905942",NA
34.150036,-118.289047,"Nymphalidae","Danaus plexippus",2024,7,5,"iNaturalist research-grade observations","4908841932","Adult"
34.145236,-118.28968,"Nymphalidae","Dione vanillae",2024,7,29,"iNaturalist research-grade observations","4919743088","Adult"
34.14806,-118.290177,"Nymphalidae","Danaus plexippus",2024,8,2,"iNaturalist research-grade observations","4921891547","Larva"
34.150675,-118.285414,"Nymphalidae","Dione vanillae",2024,8,12,"iNaturalist research-grade observations","4936591183",NA
34.148981,-118.290588,"Nymphalidae","Dione vanillae",2024,8,19,"iNaturalist research-grade observations","4937054886",NA
34.146268,-118.294841,"Nymphalidae","Limenitis bredowii",2024,9,6,"iNaturalist research-grade observations","4945741476",NA
34.148,-118.286667,"Nymphalidae","Dione vanillae",2024,9,5,"iNaturalist research-grade observations","4945774858","Adult"
34.145159,-118.293265,"Nymphalidae","Danaus plexippus",2024,9,6,"iNaturalist research-grade observations","4946123831","Adult"
34.147067,-118.288345,"Nymphalidae","Dione vanillae",2024,9,7,"iNaturalist research-grade observations","4946269718",NA
34.149467,-118.291436,"Nymphalidae","Limenitis bredowii",2024,9,4,"iNaturalist research-grade observations","4946381250",NA
34.14927,-118.291742,"Nymphalidae","Limenitis bredowii",2024,9,8,"iNaturalist research-grade observations","4950439475",NA
34.149631,-118.288812,"Nymphalidae","Dione vanillae",2024,9,28,"iNaturalist research-grade observations","4953076290",NA
34.147422,-118.288575,"Nymphalidae","Dione vanillae",2024,10,14,"iNaturalist research-grade observations","4954658474","Adult"
