"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
33.46168,-111.944926,NA,"Hesperiidae","Hylephila phyleus",2025,1,1,"iNaturalist research-grade observations","5007558117","Adult"
33.608383,-112.159855,NA,"Hesperiidae","Hylephila phyleus",2025,2,7,"iNaturalist research-grade observations","5063920751","Adult"
33.49813,-112.077178,NA,"Hesperiidae","Hylephila phyleus",2025,2,15,"iNaturalist research-grade observations","5206403454",NA
33.454444,-112.062951,NA,"Hesperiidae","Hylephila phyleus",2025,3,25,"iNaturalist research-grade observations","5108141330",NA
33.454453,-112.062944,NA,"Hesperiidae","Hylephila phyleus",2025,3,27,"iNaturalist research-grade observations","5108198450",NA
33.454443,-112.062947,NA,"Hesperiidae","Hylephila phyleus",2025,4,14,"iNaturalist research-grade observations","5133647787",NA
33.46168,-111.944926,NA,"Hesperiidae","Lerodea eufala",2025,4,4,"iNaturalist research-grade observations","5134870175",NA
33.454478,-112.062437,NA,"Hesperiidae","Hylephila phyleus",2025,4,21,"iNaturalist research-grade observations","5134891328",NA
33.440902,-112.022573,NA,"Hesperiidae","Hylephila phyleus",2025,4,26,"iNaturalist research-grade observations","5140605601",NA
33.507292,-112.139639,NA,"Hesperiidae","Hylephila phyleus",2025,4,27,"iNaturalist research-grade observations","5140909774",NA
33.46168,-111.944926,NA,"Hesperiidae","Hylephila phyleus",2025,4,27,"iNaturalist research-grade observations","5141065510",NA
33.385937,-112.067091,NA,"Hesperiidae","Hylephila phyleus",2025,5,4,"iNaturalist research-grade observations","5153427185",NA
33.461198,-111.944671,NA,"Hesperiidae","Hylephila phyleus",2025,5,18,"iNaturalist research-grade observations","5177038728",NA
33.629414,-112.078551,NA,"Hesperiidae","Hylephila phyleus",2025,6,2,"iNaturalist research-grade observations","5176505988","Adult"
33.385917,-112.066937,NA,"Hesperiidae","Hylephila phyleus",2025,6,2,"iNaturalist research-grade observations","5177186410",NA
33.38558,-112.066081,NA,"Hesperiidae","Hylephila phyleus",2025,6,3,"iNaturalist research-grade observations","5177322806",NA
33.706305,-112.031911,NA,"Hesperiidae","Hylephila phyleus",2025,6,13,"iNaturalist research-grade observations","5198481129",NA
33.461836,-111.946482,NA,"Hesperiidae","Hylephila phyleus",2025,7,27,"iNaturalist research-grade observations","5237917601","Adult"
33.541205,-112.062736,NA,"Hesperiidae","Hylephila phyleus",2024,3,31,"iNaturalist research-grade observations","4607233365",NA
33.493527,-112.099102,NA,"Hesperiidae","Hylephila phyleus",2024,4,2,"iNaturalist research-grade observations","4607005528",NA
33.523637,-112.087814,NA,"Hesperiidae","Hylephila phyleus",2024,4,6,"iNaturalist research-grade observations","4607131046",NA
33.648767,-112.157466,NA,"Hesperiidae","Hylephila phyleus",2024,4,6,"iNaturalist research-grade observations","4607338228",NA
33.648372,-111.9784,NA,"Hesperiidae","Hylephila phyleus",2024,4,9,"iNaturalist research-grade observations","4607504471",NA
33.706305,-112.031911,NA,"Hesperiidae","Hylephila phyleus",2024,4,12,"iNaturalist research-grade observations","4910776637",NA
33.532711,-112.129018,NA,"Hesperiidae","Hylephila phyleus",2024,4,27,"iNaturalist research-grade observations","4910820698",NA
33.397859,-112.047983,NA,"Hesperiidae","Hylephila phyleus",2024,4,27,"iNaturalist research-grade observations","4910873997",NA
33.706305,-112.031911,NA,"Hesperiidae","Hylephila phyleus",2024,4,12,"iNaturalist research-grade observations","4911026755",NA
33.498133,-112.077155,NA,"Hesperiidae","Hylephila phyleus",2024,4,1,"iNaturalist research-grade observations","5205845389",NA
33.557781,-112.044471,NA,"Hesperiidae","Hylephila phyleus",2024,5,6,"iNaturalist research-grade observations","4855436759",NA
33.659112,-112.030333,NA,"Hesperiidae","Hylephila phyleus",2024,5,18,"iNaturalist research-grade observations","4867958981",NA
