"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
29.460926,-98.477156,NA,"Hesperiidae","Calpodes ethlius",2025,1,3,"iNaturalist research-grade observations","5063053161","Adult"
29.461748,-98.4773,NA,"Hesperiidae","Erynnis funeralis",2025,4,28,"iNaturalist research-grade observations","5141001846",NA
29.462499,-98.470683,NA,"Hesperiidae","Hylephila phyleus",2025,5,4,"iNaturalist research-grade observations","5154473847","Adult"
29.461784,-98.474815,NA,"Hesperiidae",NA,2025,7,10,"iNaturalist research-grade observations","5237504218","Adult"
29.461642,-98.476477,NA,"Hesperiidae","Chioides catillus",2025,7,10,"iNaturalist research-grade observations","5237649242","Adult"
29.461442,-98.476903,NA,"Hesperiidae","Oarisma minima",2025,7,10,"iNaturalist research-grade observations","5238269205","Adult"
29.463968,-98.470336,NA,"Hesperiidae","Hylephila phyleus",2024,4,11,"iNaturalist research-grade observations","4846793565","Adult"
29.461902,-98.474544,NA,"Hesperiidae","Lerema accius",2024,4,27,"iNaturalist research-grade observations","4852295791","Adult"
29.461886,-98.474567,NA,"Hesperiidae","Hylephila phyleus",2024,4,27,"iNaturalist research-grade observations","4853084898","Adult"
29.461759,-98.476249,NA,"Hesperiidae","Erynnis horatius",2024,4,27,"iNaturalist research-grade observations","4855183817","Adult"
29.461805,-98.476242,NA,"Hesperiidae","Erynnis horatius",2024,4,27,"iNaturalist research-grade observations","4855293909","Adult"
29.460939,-98.477178,NA,"Hesperiidae","Erynnis horatius",2024,6,18,"iNaturalist research-grade observations","4901149196","Adult"
29.463854,-98.470614,NA,"Hesperiidae","Hylephila phyleus",2024,8,16,"iNaturalist research-grade observations","4926098835","Adult"
29.462519,-98.4735,NA,"Hesperiidae","Calpodes ethlius",2024,8,22,"iNaturalist research-grade observations","4935990144",NA
29.460735,-98.477338,NA,"Hesperiidae","Panoquina ocola",2024,10,12,"iNaturalist research-grade observations","4954285256","Adult"
29.460735,-98.477338,NA,"Hesperiidae","Panoquina ocola",2024,10,12,"iNaturalist research-grade observations","4954350352","Adult"
29.460735,-98.477338,NA,"Hesperiidae","Chioides catillus",2024,10,12,"iNaturalist research-grade observations","4954404977","Adult"
29.460735,-98.477338,NA,"Hesperiidae","Panoquina ocola",2024,10,12,"iNaturalist research-grade observations","4954511732","Adult"
29.461449,-98.47698,NA,"Hesperiidae",NA,2024,10,16,"iNaturalist research-grade observations","4976205220",NA
29.461449,-98.47698,NA,"Hesperiidae","Oarisma aurantiaca",2024,10,16,"iNaturalist research-grade observations","4976413198",NA
29.461449,-98.47698,NA,"Hesperiidae","Panoquina ocola",2024,10,16,"iNaturalist research-grade observations","4976463740",NA
29.460735,-98.477338,NA,"Hesperiidae",NA,2024,10,12,"iNaturalist research-grade observations","5139968292","Adult"
29.461747,-98.475847,NA,"Hesperiidae","Polites vibex",2023,6,6,"iNaturalist research-grade observations","4133903543","Adult"
29.461747,-98.475847,NA,"Hesperiidae","Systasea pulverulenta",2023,6,6,"iNaturalist research-grade observations","4134059735","Adult"
29.461747,-98.475847,NA,"Hesperiidae","Hylephila phyleus",2023,6,6,"iNaturalist research-grade observations","4134065639","Adult"
29.463542,-98.472222,NA,"Hesperiidae","Lerema accius",2023,7,13,"iNaturalist research-grade observations","4162009810","Adult"
29.463894,-98.470354,NA,"Hesperiidae","Hylephila phyleus",2022,3,4,"iNaturalist research-grade observations","3712744572","Adult"
29.463894,-98.470354,NA,"Hesperiidae","Hylephila phyleus",2022,3,4,"iNaturalist research-grade observations","3712745606","Adult"
29.463894,-98.470354,NA,"Hesperiidae",NA,2022,3,4,"iNaturalist research-grade observations","3988619421","Adult"
29.463569,-98.472468,NA,"Hesperiidae","Chioides catillus",2022,6,1,"iNaturalist research-grade observations","4946484997","Adult"
29.461477,-98.467171,NA,"Hesperiidae","Erynnis horatius",2022,8,25,"iNaturalist research-grade observations","3902974352","Adult"
