"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
32.732748,-117.147056,NA,"Hesperiidae","Hylephila phyleus",2025,7,22,"iNaturalist research-grade observations","5237734771",NA
32.734458,-117.1529,NA,"Hesperiidae","Lon melane",2024,7,28,"iNaturalist research-grade observations","4950299080","Adult"
32.736035,-117.150856,NA,"Hesperiidae","Hylephila phyleus",2024,8,20,"iNaturalist research-grade observations","4936052304","Adult"
32.732445,-117.14698,NA,"Hesperiidae","Hylephila phyleus",2024,9,13,"iNaturalist research-grade observations","4946171857","Adult"
32.733342,-117.148192,NA,"Hesperiidae","Hylephila phyleus",2024,9,16,"iNaturalist research-grade observations","4946273457","Adult"
32.736378,-117.151993,NA,"Hesperiidae","Lon melane",2024,9,22,"iNaturalist research-grade observations","4949904785","Adult"
32.732637,-117.147003,NA,"Hesperiidae","Hylephila phyleus",2024,9,20,"iNaturalist research-grade observations","4950018005","Adult"
32.732638,-117.147011,NA,"Hesperiidae","Hylephila phyleus",2024,9,20,"iNaturalist research-grade observations","4950167703","Adult"
32.7326,-117.147042,NA,"Hesperiidae","Hylephila phyleus",2024,9,20,"iNaturalist research-grade observations","4950574509","Adult"
32.73248,-117.149225,NA,"Hesperiidae","Hylephila phyleus",2024,10,30,"iNaturalist research-grade observations","4980302529","Adult"
32.732744,-117.152122,NA,"Hesperiidae","Hylephila phyleus",2022,6,14,"iNaturalist research-grade observations","3858702662","Adult"
32.732522,-117.147377,NA,"Hesperiidae","Erynnis funeralis",2022,6,27,"iNaturalist research-grade observations","4852708010","Adult"
32.73361,-117.153744,NA,"Hesperiidae","Ochlodes sylvanoides",2022,8,9,"iNaturalist research-grade observations","4910650048","Adult"
32.735338,-117.150792,NA,"Hesperiidae","Lon melane",2022,9,10,"iNaturalist research-grade observations","3902438609","Adult"
32.735047,-117.151039,NA,"Hesperiidae","Lon melane",2022,9,18,"iNaturalist research-grade observations","3912033050","Adult"
32.732422,-117.147361,NA,"Hesperiidae","Hylephila phyleus",2022,9,20,"iNaturalist research-grade observations","4606517233","Adult"
32.735433,-117.148846,NA,"Hesperiidae","Hylephila phyleus",2022,10,11,"iNaturalist research-grade observations","3947809020","Adult"
32.735275,-117.153984,NA,"Hesperiidae","Hylephila phyleus",2021,10,12,"iNaturalist research-grade observations","3391686114","Adult"
32.732632,-117.147729,NA,"Hesperiidae","Hylephila phyleus",2020,10,6,"iNaturalist research-grade observations","3113573388","Adult"
32.738141,-117.15312,NA,"Hesperiidae","Lon melane",2019,8,13,"iNaturalist research-grade observations","2350415797","Adult"
32.732655,-117.145802,NA,"Hesperiidae","Hylephila phyleus",2018,4,27,"iNaturalist research-grade observations","1841217018","Adult"
32.73247,-117.147111,NA,"Hesperiidae","Hylephila phyleus",2018,6,27,"iNaturalist research-grade observations","1880585677","Adult"
32.732388,-117.147102,NA,"Hesperiidae","Hylephila phyleus",2018,7,26,"iNaturalist research-grade observations","1899754363","Adult"
32.735432,-117.148832,NA,"Hesperiidae","Hylephila phyleus",2018,9,25,"iNaturalist research-grade observations","1914234739","Adult"
32.735316,-117.149046,NA,"Hesperiidae","Hylephila phyleus",2018,10,16,"iNaturalist research-grade observations","1948745360","Adult"
32.735485,-117.153287,NA,"Hesperiidae","Hylephila phyleus",2014,10,12,"iNaturalist research-grade observations","3455667834","Adult"
32.738962,-117.149883,NA,"Hesperiidae","Lon melane",2014,10,12,"iNaturalist research-grade observations","4600016588","Adult"
32.73262,-117.147009,NA,"Lycaenidae","Strymon melinus",2025,6,27,"iNaturalist research-grade observations","5216416405",NA
32.732634,-117.146839,NA,"Lycaenidae","Strymon melinus",2025,7,18,"iNaturalist research-grade observations","5231364758",NA
32.733607,-117.150123,NA,"Lycaenidae","Leptotes marina",2024,7,14,"iNaturalist research-grade observations","4908577873","Adult"
32.733666,-117.150109,NA,"Lycaenidae","Strymon melinus",2024,7,14,"iNaturalist research-grade observations","4908891912","Adult"
32.738605,-117.152069,NA,"Lycaenidae","Leptotes marina",2024,7,11,"iNaturalist research-grade observations","4909095853","Adult"
32.737808,-117.152375,NA,"Lycaenidae","Leptotes marina",2024,8,7,"iNaturalist research-grade observations","4923597879","Adult"
32.736035,-117.150856,NA,"Lycaenidae","Leptotes marina",2024,8,20,"iNaturalist research-grade observations","4935981187","Adult"
32.736318,-117.153343,NA,"Lycaenidae","Leptotes marina",2024,8,31,"iNaturalist research-grade observations","4936980086","Adult"
32.734075,-117.148439,NA,"Lycaenidae","Strymon melinus",2024,9,2,"iNaturalist research-grade observations","4936444783","Adult"
32.733617,-117.14858,NA,"Lycaenidae","Leptotes marina",2024,9,22,"iNaturalist research-grade observations","4950383912","Adult"
32.733678,-117.148642,NA,"Lycaenidae","Leptotes marina",2024,10,14,"iNaturalist research-grade observations","4954344040","Adult"
32.738041,-117.150236,NA,"Lycaenidae","Leptotes marina",2024,11,3,"iNaturalist research-grade observations","4978663078","Adult"
32.733818,-117.154648,NA,"Lycaenidae","Leptotes marina",2024,11,16,"iNaturalist research-grade observations","4987688004","Adult"
32.736324,-117.153298,NA,"Lycaenidae","Leptotes marina",2023,8,8,"iNaturalist research-grade observations","4177197638","Adult"
32.734183,-117.149912,NA,"Lycaenidae","Strymon melinus",2023,9,20,"iNaturalist research-grade observations","4416715908","Adult"
32.737222,-117.15101,NA,"Lycaenidae","Strymon melinus",2023,10,3,"iNaturalist research-grade observations","4424249280","Adult"
32.735338,-117.150792,NA,"Lycaenidae","Strymon melinus",2022,9,10,"iNaturalist research-grade observations","3902719528","Adult"
32.735022,-117.148522,NA,"Lycaenidae","Strymon melinus",2022,9,20,"iNaturalist research-grade observations","3912457577","Adult"
32.734167,-117.148056,NA,"Lycaenidae","Strymon melinus",2020,7,9,"iNaturalist research-grade observations","2818696552","Adult"
32.739003,-117.149846,NA,"Lycaenidae","Leptotes marina",2019,8,20,"iNaturalist research-grade observations","2366126579","Adult"
32.738676,-117.150198,NA,"Lycaenidae","Hemiargus ceraunus",2019,8,24,"iNaturalist research-grade observations","2397541514","Adult"
32.73861,-117.150471,NA,"Lycaenidae","Leptotes marina",2019,8,31,"iNaturalist research-grade observations","2397650418","Adult"
32.734196,-117.149254,NA,"Lycaenidae","Leptotes marina",2019,9,4,"iNaturalist research-grade observations","2422925293","Adult"
