"family","species","num_obs"
"Hesperiidae","Achlyodes thraso",49
"Hesperiidae","Aguna asander",1
"Hesperiidae","Ancyloxypha arene",24
"Hesperiidae","Ancyloxypha numitor",5
"Hesperiidae","Atalopedes campestris",4
"Hesperiidae","Atrytonopsis ovinia",1
"Hesperiidae","Atrytonopsis vierecki",2
"Hesperiidae","Burnsius albezens",305
"Hesperiidae","Burnsius communis",7
"Hesperiidae","Burnsius philetas",54
"Hesperiidae","Calpodes ethlius",70
"Hesperiidae","Celotes nessus",48
"Hesperiidae","Chioides catillus",347
"Hesperiidae","Chioides zilpa",2
"Hesperiidae","Chiothion georgina",30
"Hesperiidae","Cogia hippalus",2
"Hesperiidae","Copaeodes minima",1
"Hesperiidae","Epargyreus clarus",1
"Hesperiidae","Erynnis afranius",1
"Hesperiidae","Erynnis brizo",3
"Hesperiidae","Erynnis funeralis",852
"Hesperiidae","Erynnis horatius",394
"Hesperiidae","Erynnis juvenalis",24
"Hesperiidae","Erynnis propertius",1
"Hesperiidae","Erynnis telemachus",2
"Hesperiidae","Erynnis tristis",333
"Hesperiidae","Euphyes vestris",143
"Hesperiidae","Grais stigmaticus",10
"Hesperiidae","Heliopetes ericetorum",171
"Hesperiidae","Heliopetes laviana",25
"Hesperiidae","Heliopetes macaira",4
"Hesperiidae","Heliopyrgus domicella",3
"Hesperiidae","Hesperia juba",1
"Hesperiidae","Hesperia pahaska",2
"Hesperiidae","Hesperia viridis",2
"Hesperiidae","Hylephila phyleus",5243
"Hesperiidae","Lerema accius",471
"Hesperiidae","Lerodea arabus",11
"Hesperiidae","Lerodea eufala",756
"Hesperiidae","Lon melane",1623
"Hesperiidae","Lon taxiles",3
"Hesperiidae","Mastor aenus",1
"Hesperiidae","Mastor celia",131
"Hesperiidae","Mastor eos",1
"Hesperiidae","Mastor nysa",59
"Hesperiidae","Mastor tolteca",1
"Hesperiidae","Mastor vialis",1
"Hesperiidae","Megathymus streckeri",2
"Hesperiidae","Nastra julia",16
"Hesperiidae","Oarisma aurantiaca",122
"Hesperiidae","Oarisma minima",116
"Hesperiidae","Ochlodes agricola",52
"Hesperiidae","Ochlodes sylvanoides",408
"Hesperiidae","Panoquina errans",135
"Hesperiidae","Panoquina ocola",71
"Hesperiidae","Pholisora catullus",74
"Hesperiidae","Polites otho",26
"Hesperiidae","Polites sabuleti",54
"Hesperiidae","Polites vibex",73
"Hesperiidae","Pyrgus centaureae",1
"Hesperiidae","Pyrgus communis",14
"Hesperiidae","Pyrgus oileus",27
"Hesperiidae","Pyrgus scriptura",13
"Hesperiidae","Staphylus ceos",11
"Hesperiidae","Staphylus mazans",17
